external_id,sample_date,sample_number,plant_part,business_name,location_name,plot_name,variety_name,crop_name,lab_name,set_id,sugar,ph,ec,potassium,calcium,magnesium,sodium,ammonium,no3_nitrate,nitrogen_in_nitrate,nitrogen,chloride,phosphorous,silica,iron,manganese,zinc,boron,copper,molybdenum,aluminium,cobalt
0a98c749-4f76-4f68-a8ac-9c724a7f6a4e,2023-06-06 00:00:00,202306092365,Leaf (old),AEA L & B,L&B,BB3,Honeycrisp,Apple,chl,2b729118-9fdf-48af-8015-15ea34d7ee50,2.9,5.81,12.8,7065.492,1415.364,1218.09,20.181,75.288,22.58,5.1,346.97,180.96,1862.852,12.928,2.938,11.975,3.447,4.122,1.603,2.301,1.054,0.07
0a98c749-4f76-4f68-a8ac-9c724a7f6a4e,2023-06-06 00:00:00,202306092365,Leaf (old),AEA L & B,L&B,BB3,Honeycrisp,Apple,chl,955080e7-0c7b-4e27-8b28-fcadd466ae5a,2.9,5.81,12.8,7065.492,1415.364,1218.09,20.181,75.288,22.58,5.1,346.97,180.96,1862.852,12.928,2.938,11.975,3.447,4.122,1.603,2.301,1.054,0.07
10af4c1e-8aa7-472a-b1ba-9be7636abf56,2023-06-06 00:00:00,202306092371,Leaf (old),AEA L & B,OB Orchards,OBS 1,Honeycrisp,Apple,chl,10a8b9b0-d90a-4c4a-b040-300ebfb1bffe,1.9,5.92,15.08,8262.427,1501.756,1359.703,27.6,36.588,13.94,3.15,352.8,380.55,1044.858,13.219,9.958,37.421,7.296,7.715,0.77,3.488,0.98,3.997
10af4c1e-8aa7-472a-b1ba-9be7636abf56,2023-06-06 00:00:00,202306092371,Leaf (old),AEA L & B,OB Orchards,OBS 1,Honeycrisp,Apple,chl,a49b726e-a6bc-48d6-b999-9a6053632dae,1.9,5.92,15.08,8262.427,1501.756,1359.703,27.6,36.588,13.94,3.15,352.8,380.55,1044.858,13.219,9.958,37.421,7.296,7.715,0.77,3.488,0.98,3.997
14dfa13d-1719-4bd8-86f9-25e3cc3eed1a,2023-06-06 00:00:00,202306092386,Leaf (young),Monument Apples,Monument Apples,Block 1,Honeycrisp,Apple,chl,5fab6a90-0540-4ba3-8263-6995e5dafdd1,2.7,5.87,13.08,7265.628,972.12,953.505,40.566,72.506,215.85,48.72,444.6,468.28,794.632,11.779,2.482,87.733,7.869,22.287,2.577,5.58,1.919,2.932
14dfa13d-1719-4bd8-86f9-25e3cc3eed1a,2023-06-06 00:00:00,202306092386,Leaf (young),Monument Apples,Monument Apples,Block 1,Honeycrisp,Apple,chl,857ab61b-12e9-48aa-8a21-cb10e53e6454,2.7,5.87,13.08,7265.628,972.12,953.505,40.566,72.506,215.85,48.72,444.6,468.28,794.632,11.779,2.482,87.733,7.869,22.287,2.577,5.58,1.919,2.932
2bb404df-8bff-4f7a-85c5-b9e3119cf4d2,2023-06-06 00:00:00,202306092368,Leaf (young),AEA L & B,OB Orchards,OBN 3,Honeycrisp,Apple,chl,d740b2f4-8c94-48f6-aea3-62cfff379271,2.6,5.94,12.02,6651.06,488.442,623.691,14.8,70.007,31.74,7.16,589.3,183.97,488.026,11.464,8.512,19.167,4.783,4.609,2.16,5.439,0.843,6.842
2bb404df-8bff-4f7a-85c5-b9e3119cf4d2,2023-06-06 00:00:00,202306092368,Leaf (young),AEA L & B,OB Orchards,OBN 3,Honeycrisp,Apple,chl,f85122ad-6fda-42cc-89b5-f084e884aa7a,2.6,5.94,12.02,6651.06,488.442,623.691,14.8,70.007,31.74,7.16,589.3,183.97,488.026,11.464,8.512,19.167,4.783,4.609,2.16,5.439,0.843,6.842
4ca721a8-ae86-4c79-8857-7303f5266d12,2023-06-06 00:00:00,202306092364,Leaf (young),AEA L & B,L&B,BB3,Honeycrisp,Apple,chl,2b729118-9fdf-48af-8015-15ea34d7ee50,4.1,5.93,13.08,7768.256,898.184,1211.117,12.593,76.15,31.87,7.19,341.5,178.8,1350.169,12.017,2.193,9.793,2.109,5.403,0.743,1.575,0.567,0.067
4ca721a8-ae86-4c79-8857-7303f5266d12,2023-06-06 00:00:00,202306092364,Leaf (young),AEA L & B,L&B,BB3,Honeycrisp,Apple,chl,955080e7-0c7b-4e27-8b28-fcadd466ae5a,4.1,5.93,13.08,7768.256,898.184,1211.117,12.593,76.15,31.87,7.19,341.5,178.8,1350.169,12.017,2.193,9.793,2.109,5.403,0.743,1.575,0.567,0.067
544605e3-1c0a-4f86-9a0c-9d6845dcc4c4,2023-06-06 00:00:00,202306092383,Leaf (old),Monument Apples,Monument Apples,Block 5,Honeycrisp,Apple,chl,c299c627-e675-4306-92a0-8df7e97f67ab,2.2,5.73,14.64,8039.141,1335.21,1124.849,44.897,93.034,174.11,39.3,434.21,536.39,1740.855,16.962,2.407,88.761,9.176,11.156,2.073,3.192,2.221,2.711
544605e3-1c0a-4f86-9a0c-9d6845dcc4c4,2023-06-06 00:00:00,202306092383,Leaf (old),Monument Apples,Monument Apples,Block 5,Honeycrisp,Apple,chl,eadcdc2f-009a-4671-8451-b6ec519be188,2.2,5.73,14.64,8039.141,1335.21,1124.849,44.897,93.034,174.11,39.3,434.21,536.39,1740.855,16.962,2.407,88.761,9.176,11.156,2.073,3.192,2.221,2.711
5b080468-3c58-42df-92f3-a752f6aee052,2023-06-06 00:00:00,202306092385,Leaf (old),Monument Apples,Monument Apples,Block 6,Honeycrisp,Apple,chl,49c60cc9-1447-4287-984a-e470d40b9758,3.4,5.81,12.29,5161.029,1893.474,1466.542,77.683,112.79,1091.56,246.4,914.4,1044.43,562.524,24.359,3.22,121.017,13.125,13.921,4.188,7.037,3.164,4.837
5b080468-3c58-42df-92f3-a752f6aee052,2023-06-06 00:00:00,202306092385,Leaf (old),Monument Apples,Monument Apples,Block 6,Honeycrisp,Apple,chl,e5f9af65-346f-43b9-b9ba-6581e8329f94,3.4,5.81,12.29,5161.029,1893.474,1466.542,77.683,112.79,1091.56,246.4,914.4,1044.43,562.524,24.359,3.22,121.017,13.125,13.921,4.188,7.037,3.164,4.837
8dc38ee6-7abe-4c30-bd1c-bef43571c2d6,2023-06-06 00:00:00,202306092369,Leaf (old),AEA L & B,OB Orchards,OBN 3,Honeycrisp,Apple,chl,d740b2f4-8c94-48f6-aea3-62cfff379271,2.5,5.99,13.41,7339.933,1331.359,1020.937,20.517,48.758,15.27,3.45,385.75,321.77,886.55,14.993,8.131,27.012,6.277,3.485,1.016,5.142,0.957,7.427
8dc38ee6-7abe-4c30-bd1c-bef43571c2d6,2023-06-06 00:00:00,202306092369,Leaf (old),AEA L & B,OB Orchards,OBN 3,Honeycrisp,Apple,chl,f85122ad-6fda-42cc-89b5-f084e884aa7a,2.5,5.99,13.41,7339.933,1331.359,1020.937,20.517,48.758,15.27,3.45,385.75,321.77,886.55,14.993,8.131,27.012,6.277,3.485,1.016,5.142,0.957,7.427
b4b570bd-dcbd-49fb-8f42-08ba99142fd7,2023-06-06 00:00:00,202306092387,Leaf (old),Monument Apples,Monument Apples,Block 1,Honeycrisp,Apple,chl,5fab6a90-0540-4ba3-8263-6995e5dafdd1,2.4,5.79,15.23,8621.154,1409.325,1079.989,39.58,89.802,104.25,23.53,423.3,537.26,1586.98,15.937,2.58,90.192,8.309,20.614,1.923,4.232,2.598,2.561
